"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK"
"1",2012,1,1,1,7
"2",2012,1,1,2,1
"3",2012,1,1,3,2
"4",2012,1,1,4,3
"5",2012,1,1,5,4
"6",2012,1,1,6,5
"7",2012,1,1,7,6
"8",2012,1,1,8,7
"9",2012,1,1,9,1
"10",2012,1,1,10,2
